Channel,Counts
1,0
2,0
3,0
4,1452
5,858
6,881
7,929
8,849
9,928
10,1017
11,1108
12,1218
13,1276
14,1196
15,1176
16,1108
17,1249
18,1246
19,1341
20,1459
21,1638
22,1745
23,2027
24,2222
25,2499
26,2661
27,2855
28,3026
29,3283
30,3603
31,3793
32,4193
33,4420
34,4691
35,4947
36,5000
37,4846
38,4688
39,4610
40,4503
41,4585
42,4497
43,4472
44,4668
45,4776
46,4495
47,4641
48,4695
49,4625
50,4764
51,4786
52,4817
53,4628
54,4536
55,4678
56,4585
57,4318
58,4411
59,4336
60,4272
61,4317
62,4477
63,4478
64,4463
65,4456
66,4433
67,4314
68,4213
69,4085
70,3834
71,3658
72,3446
73,3239
74,3148
75,3066
76,2938
77,2948
78,2857
79,2841
80,2861
81,2636
82,2660
83,2687
84,2679
85,2633
86,2506
87,2541
88,2495
89,2412
90,2283
91,2216
92,2196
93,2189
94,2185
95,2113
96,2072
97,2036
98,2037
99,1906
100,1953
101,1948
102,1872
103,1870
104,1737
105,1762
106,1706
107,1685
108,1611
109,1685
110,1536
111,1571
112,1558
113,1524
114,1429
115,1433
116,1410
117,1407
118,1491
119,1366
120,1519
121,1444
122,1389
123,1400
124,1385
125,1290
126,1241
127,1204
128,1182
129,1145
130,1094
131,1083
132,986
133,869
134,890
135,897
136,882
137,875
138,862
139,876
140,801
141,749
142,796
143,728
144,764
145,765
146,723
147,702
148,710
149,672
150,727
151,677
152,634
153,660
154,655
155,624
156,675
157,638
158,622
159,612
160,602
161,609
162,621
163,637
164,568
165,594
166,565
167,605
168,616
169,608
170,577
171,577
172,561
173,584
174,574
175,520
176,520
177,554
178,577
179,587
180,549
181,520
182,533
183,537
184,515
185,525
186,492
187,505
188,490
189,522
190,496
191,486
192,469
193,525
194,531
195,513
196,528
197,555
198,546
199,567
200,532
201,539
202,594
203,609
204,580
205,560
206,555
207,598
208,584
209,570
210,525
211,576
212,510
213,457
214,475
215,457
216,438
217,394
218,417
219,388
220,394
221,332
222,317
223,343
224,314
225,315
226,340
227,308
228,336
229,291
230,326
231,279
232,332
233,318
234,273
235,305
236,295
237,298
238,292
239,316
240,284
241,300
242,274
243,299
244,279
245,282
246,318
247,297
248,261
